speno,standardlength_cm,curvilinearlength_cm,standardsupinelength_cm,hipgirth_cm,maxgirth_cm,axillarygirth_cm,mass_kg,blubberthickness_cm,blubberdepthrightlateralhipa,blubberdepthrightlateralhipb,blubberdepthdorsalhipa_cm,blubberdepthdorsalhipb_cm,blubberdepthdorsalaxillarya,blubberdepthdorsalaxillaryb,blubberdepthlateralaxillarya,blubberdepthlateralaxillaryb,condition,morphometriccomments
HF1991_60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_8,NA,NA,NA,NA,108,103,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_9,NA,NA,NA,NA,123,123,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2005_5876,93,NA,NA,NA,NA,73,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_21,NA,NA,NA,NA,168,147,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_22,NA,NA,NA,NA,172,133.5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_23,NA,NA,NA,NA,172,160,NA,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV2000_427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2005_5964,157,164,NA,NA,NA,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2005_5965,126,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2005_6020,140,147,NA,NA,NA,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2005_6021,166,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2009_3001,216,234,NA,117.5,163,147,253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2009_3002,195,210,NA,114,158,144,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2009_7009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2011_3000,186,196,NA,NA,143.5,128,161.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2005_5880,88,NA,NA,NA,NA,76.5,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2005_5882,92.5,NA,NA,NA,NA,69.5,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_24,NA,NA,NA,NA,167,148,NA,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_25,NA,NA,NA,NA,166,154,NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_263,NA,NA,NA,NA,170,150,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_28,NA,NA,NA,NA,163.5,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_29,NA,NA,NA,NA,165,145,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_30,NA,NA,NA,NA,151,149,237.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_144,NA,NA,NA,NA,165,145,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_141,NA,NA,NA,NA,168,155,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_146,NA,NA,NA,NA,125,119,NA,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_78,NA,NA,NA,NA,183,160,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2005_5900,88,NA,NA,NA,NA,68,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2005_5951,80.5,NA,NA,NA,NA,64,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2005_5953,90,NA,NA,NA,NA,61,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PL1991_18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_28,NA,NA,NA,NA,117,112,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_29,NA,NA,NA,NA,127,135,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_3,NA,NA,NA,NA,120,119,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2006_5992,95,100,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2006_5993,91,95,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_36,NA,NA,NA,NA,161,139,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_37,NA,NA,NA,NA,158,145,NA,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_38,NA,NA,NA,NA,160,141,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_4,NA,NA,NA,NA,156,142,198,6,NA,NA,NA,NA,NA,NA,NA,NA,excellent,NA
EB1991_42,NA,NA,NA,NA,196,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LARGE,NA
EB1991_49,NA,NA,NA,NA,172,159,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_5,NA,NA,NA,NA,155,141,233,5,NA,NA,NA,NA,NA,NA,NA,NA,excellent,NA
EB1991_51,NA,NA,NA,NA,192,156,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_54,NA,NA,NA,NA,177,142,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_55,NA,NA,NA,NA,156,141,NA,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_56,NA,NA,NA,NA,163,150,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_57,NA,NA,NA,NA,160,144,NA,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_58,NA,NA,NA,NA,145,131,156.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_61,NA,NA,NA,NA,171,152,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_67,NA,NA,NA,NA,163,151,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_68,NA,NA,NA,NA,160,149,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_69,NA,NA,NA,NA,165,146,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_77,NA,NA,NA,NA,154,133,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2005_5886,143,NA,NA,NA,NA,61,61.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2005_5892,133,NA,NA,NA,NA,101,45.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2005_5894,121,NA,NA,NA,NA,99.5,60.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2005_5896,133,NA,NA,NA,NA,97.5,66.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2006_5982,136,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2006_5983,81.5,86,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2006_5988,85,87,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2006_5989,146,156,NA,NA,NA,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2006_5991,132,140,NA,NA,NA,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6039,106,121,NA,84,101,97,49.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6044,135,164,NA,103,127,127,106.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6047,112,127,NA,83,95,95,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6049,128,147,NA,83,110,104,74.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6050,116,120,NA,67,106,103,54.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_8,NA,NA,NA,NA,160,147,275,3.4,NA,NA,NA,NA,NA,NA,NA,NA,excellent,NA
EB1991_82,NA,NA,NA,NA,181,153,NA,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_83,NA,NA,NA,NA,162,145,NA,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_84,NA,NA,NA,NA,164,138,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_39,NA,NA,NA,NA,NA,NA,263,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_40,NA,NA,NA,NA,160,142,266.5,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_41,NA,NA,NA,NA,165,149,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_43,NA,NA,NA,NA,160,146,NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_34,NA,NA,NA,NA,178,155.5,229,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_35,NA,NA,NA,NA,161.5,132,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6063,154,166,NA,79,125,123,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV1994_16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6084,83,95,NA,68,88,88,30.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2005_5994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6106,157,170,NA,82,113,111,86.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6107,148,160,NA,91,122,119,98.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2007_7026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2007_7027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2007_7028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2007_7029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2007_7030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2007_7031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2007_7032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GS2016_1501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2004_5973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2006_5979,89,94,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2006_5980,87,90,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6051,138,159,NA,91,119,116,91.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6056,135,148,NA,84,110,108,73.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6065,162,178,NA,82,123,121,103.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6066,110,117,NA,75,95,94,45.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6067,156,172,NA,93,120,120,106.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6068,90,103,NA,74,95,93,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6069,138,152,NA,90,119,118,85.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6070,137,143,NA,73,110,110,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6071,143,156,NA,NA,117,110,85.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6073,155,176,NA,95,134,134,109.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6075,119,129,NA,80,107,103,62.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6082,135,148,NA,68,113,112,75.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6085,145,161,NA,85,120,115,88.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6089,101,115,NA,68,85,82,34.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6090,130,150,NA,82,112,109,79.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6099,156,167,NA,92,133,126,122.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6100,141,159,NA,80,120,118,95.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6101,138,152,NA,84,114,114,84.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6102,110,119,NA,63,82,82,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6103,157,166,NA,91,126,122,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2007_7033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2007_7034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2007_7035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2007_7036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2007_7037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2007_7038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2007_7039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_96,NA,NA,NA,NA,157,143,219,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_90,NA,NA,NA,NA,172,147,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_9,NA,NA,NA,NA,180,161,330,6,NA,NA,NA,NA,NA,NA,NA,NA,excellent,NA
EB1991_91,NA,NA,NA,NA,163,145,NA,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_92,NA,NA,NA,NA,162,145,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2007_7040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2007_7041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2007_7042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2007_7043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2009_2508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2009_7005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2009_7006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2009_7007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2009_7008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2014_1009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GS2007_6060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GS2007_6105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GS2009_2513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GS2009_2514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GS2009_2515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GS2009_2516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GS2009_2517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GS2010_1507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GS2010_1510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GS2010_1511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GS2010_2505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GS2010_2508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GS2014_1501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2011_3001,159,170,NA,NA,126,116.5,114.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2009_1017,131,142,NA,65,99,99,64.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2009_1018,92,101,NA,55,75,74,24.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2009_1019,136,147,NA,76,103,102,76.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2009_1021,127,139,NA,77,111,111,66.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2009_1023,140.5,151,NA,87,120,120,89.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2009_1024,134,143,NA,78,104,104,63.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2009_2026,89,95,NA,58,78,74,24.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GS2010_1503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2009_1028,149,163,NA,80,113.5,113.5,81.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV1994_17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_30,NA,NA,NA,NA,120,120,NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_32,NA,NA,NA,NA,120,120,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_33,NA,NA,NA,NA,129,129,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_34,NA,NA,NA,NA,114,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2010_1016,82,88,NA,56,74,74,23.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2010_2014,87,100,NA,57,74,74,22.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2010_2017,101,105,NA,66,101,100,39.8,NA,NA,NA,NA,NA,4.24,NA,NA,NA,NA,ultrasound
HF2010_2018,92,99,NA,58,86,86,28.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2010_2019,73,82,NA,61,72,71,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2008_1001,127,137,NA,79,111,109,73.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2009_1026,135,144,NA,71,104,104,70.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2009_1027,89,94,NA,61,73,73,22.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2009_2009,115,125,NA,62,89,89,40.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2009_2012,100,107,NA,65,87,87,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2009_2017,95,103,NA,72,95,91,32.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2009_2018,91,104,NA,64,87,87,27.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2009_2021,151,159,NA,93,123,123,94.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2009_2022,86,98,NA,56,81,79,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2009_2023,143,153,NA,71,111,110,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2009_2024,100,110,NA,60,78,78,24.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2009_2025,112,120,NA,56,85,82,39.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2009_2027,87,97,NA,59,77,76,21.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2009_2028,87,97,NA,59,77,76,21.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2009_2029,92,99,NA,61,77,77,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2009_2030,146,150,NA,73,105,104,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2009_2031,134,141,NA,70,102,101,57.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2009_2035,122,132,NA,75,108.5,108.5,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2009_2037,132,146,NA,74,104,106,56.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2009_2040,145,160,NA,78,118,118,78.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2009_2041,106,119,NA,62,101,98,37.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2010_1001,80,91,NA,62,80,78.5,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2010_1017,134,142,NA,71,101,101,55.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2010_2000,121,133,NA,69,109,108,67.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2010_2006,113,117,NA,57,97,97,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2010_2007,86,95,NA,60,72,72,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2010_2009,90,96,NA,67,88,87,30.2,NA,NA,NA,NA,NA,3.82,NA,NA,NA,NA,ultrasound
HF2010_2010,119,125,NA,76,99,99,52.2,NA,NA,NA,NA,NA,2.22,NA,NA,NA,NA,ultrasound
HF2010_2011,143,156,NA,80,113,113,80.7,NA,NA,NA,NA,NA,1.59,NA,NA,NA,NA,ultrasound
HF2010_2015,115,131,NA,65,96,95,49.2,NA,NA,NA,NA,NA,3.01,NA,NA,NA,NA,ultrasound
HF2010_2022,152,161,NA,86,126,125,105.2,NA,NA,NA,NA,NA,2.86,NA,NA,NA,NA,ultrasound
HF2014_1003,114,126,NA,82,101,98,56.8,NA,1.93,NA,2.3,NA,2.1,NA,2.56,NA,NA,ultrasound
PH2006_6011,124,NA,NA,NA,NA,121,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV2009_9023,122,125,NA,NA,NA,NA,42.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2014_1012,84,96,NA,66,85,83.5,28.2,NA,2.76,NA,2.96,NA,2.21,NA,2.32,NA,NA,ultrasound
HF2014_1014,95,104.5,NA,64,86,81,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2014_1016,84,94,NA,70,92,86,29,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2009_2520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2009_2521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2014_1024,80,96,NA,68,88.5,88.5,25.2,NA,2.85,NA,2.5,NA,2.34,NA,NA,NA,NA,NA
PV2017_1003,84,89,NA,51.5,64.5,64.5,16,NA,1.68,NA,1.64,NA,0.87,NA,1.9,NA,NA,NA
PV2017_1002,83,88,NA,52,65,64.5,15,NA,1.44,NA,1.52,NA,1.21,NA,1.9,NA,NA,NA
HF2014_3001,92,NA,NA,NA,NA,NA,22.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not sure that the length is SL - check with Shawn D
PL1991_19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2016_1019,148.5,158.5,NA,97,124.5,124.5,98,NA,2.69,NA,2.89,NA,2.23,NA,3.34,NA,NA,ultrasound
HF2016_1020,91,93,NA,61,75,75,21.4,NA,2.1,NA,2.31,NA,2.16,NA,2.77,NA,NA,ultrasound
HF2007_6053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2007_6062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2010_1009,129,140,NA,71,104.5,104.5,64.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2010_1010,99,113,NA,72,89,88,33.4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,ultrasound
HF2010_1011,141,152,NA,87,120,120,86.8,NA,NA,NA,NA,NA,2.31,NA,NA,NA,NA,ultrasound
